regione,citta,file_base,larghezza,altezza,alt_it,autore,licenza,licenza_url,pagina_fonte
Alto Adige,Bolzano,bolzano-01,1600,1064,"Appian Way, near Casal Rotondo, Bolzano — Alto Adige, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Alto Adige,Bolzano,bolzano-02,1600,1067,"Hypo Tirol City Tower in Bozen Südtirol, Bolzano — Alto Adige, Italia",Vollmond11,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Hypo_Tirol_City_Tower_in_Bozen.JPG
Alto Adige,Bolzano,bolzano-03,1600,1067,"Techpark Bozen Bolzano-South Tyrol, former Alumix buildings — Alto Adige, Italia",Bartleby08,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:NOI_Techpark_S%C3%BCdtirol_5.jpg
Alto Adige,Merano,merano-01,1600,1064,"Appian Way, near Casal Rotondo, Merano — Alto Adige, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Alto Adige,Merano,merano-02,1600,1067,"Merano as seen from the Hochmuth — Alto Adige, Italia",Linguaddict,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Merano_as_seen_from_the_Hochmuth.jpg
Alto Adige,Merano,merano-03,1600,1067,"Stadttheater Meran 2017, Merano — Alto Adige, Italia",ManfredK,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Meran_Stadttheater_2017.jpg
Calabria,Reggio Calabria,reggio-calabria-01,1600,1068,"Reggio Calabria (Calabria, Italy) - The Francesco Cilea theater, a part of which is used by the city pinacotheca — Calabri…",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Reggio_Calabria_-_Teatro_Francesco_Cilea.jpg
Calabria,Reggio Calabria,reggio-calabria-02,1600,1067,"Reggio Calabria (Calabria, Italy) - The Aragonese castle — Calabria, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Reggio_Calabria_-_Castello_Aragonese_-_1.jpg
Calabria,Reggio Calabria,reggio-calabria-03,1600,1064,"Appian Way, near Casal Rotondo, Reggio Calabria — Calabria, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Calabria,Tropea,tropea-01,1200,800,"Tropea (Calabria, Italy) - Morning view of the old town from Via Carmine — Calabria, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Tropea_-_Veduta_da_Via_Carmine_-_1.jpg
Calabria,Tropea,tropea-02,1600,1068,"Tropea (Calabria, Italy) - The marina and the old town in the background, at blue hour — Calabria, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Tropea_-_Porto_al_tramonto.jpg
Calabria,Tropea,tropea-03,1600,1067,"Tropea (Calabria, Italy) - Church of Santa Maria dell'Isola, on a presque-isle — Calabria, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Tropea_-_Santa_Maria_dell%27Isola_-_3.jpg
Campania,Napoli,napoli-01,1600,1068,"Museo di Capodimonte facciata sud-ovest a Napoli — Campania, Italia","This Photo was taken by Wolfgang Moroder . Feel free to use my photos, but please mention me as the author and send me a message . This image is not in the public domain . Please respect the copyright protection. It may only be used according to the rules mentioned here. This specifically excludes use in social media , if applicable terms of the licenses listed here not appropriate. Please do not upload an updated image here without consultation with the Author. The author would like to make corrections only at his own source. This ensures that the changes are preserved. Please if you think that any changes should be required, please inform the author. Otherwise you can upload a new image with a new name. Please use one of the templates derivative or extract .",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Museo_Capodimonte_Napoli_facciata_Sudovest.jpg
Campania,Napoli,napoli-02,1600,1067,"Salone delle feste nel Museo di Capodimonte a Napoli — Campania, Italia","This Photo was taken by Wolfgang Moroder . Feel free to use my photos, but please mention me as the author and send me a message . This image is not in the public domain . Please respect the copyright protection. It may only be used according to the rules mentioned here. This specifically excludes use in social media , if applicable terms of the licenses listed here not appropriate. Please do not upload an updated image here without consultation with the Author. The author would like to make corrections only at his own source. This ensures that the changes are preserved. Please if you think that any changes should be required, please inform the author. Otherwise you can upload a new image with a new name. Please use one of the templates derivative or extract .",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Museo_Capodimonte_Napoli_Salone_delle_feste.jpg
Campania,Napoli,napoli-03,1600,1067,"Nápoles, Santa Chiara vista desde la Certosa di San Martino, Napoli — Campania, Italia",Miguel Hermoso Cuesta,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Certosa_Santa_Chiara_03.JPG
Campania,Salerno,salerno-01,1600,1064,"Appian Way, near Casal Rotondo, Salerno — Campania, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Campania,Salerno,salerno-02,1600,1067,"Vista di Palazzo Fruscione, Salerno — Campania, Italia",Jack56,Public domain,,https://commons.wikimedia.org/wiki/File:PalazzoFruscione.JPG
Campania,Salerno,salerno-03,1600,1067,"Un momento della Fiera del Crocifisso durante l'edizione 2013, Salerno — Campania, Italia",Jack56,Public domain,,https://commons.wikimedia.org/wiki/File:Fieradelcrocifissosalerno.JPG
Campania,Sorrento,sorrento-01,1600,1067,"Sorrento, Piazza Tasso — Campania, Italia",Berthold Werner,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Piazza_Tasso_-_Sorrento_BW_2013-05-12.jpg
Campania,Sorrento,sorrento-02,1600,1066,"Sorrento, Villa Silvana — Campania, Italia",Sorrentourist,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Sorrento,_Villa_Silvana_.jpg"
Campania,Sorrento,sorrento-03,1600,1064,"Overview of the port of Sorrento from atop the cliffs at Via Luigi de Maio, 2010 — Campania, Italia",DimiTalen,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"https://commons.wikimedia.org/wiki/File:Overview_of_the_port_of_Sorrento_from_atop_the_cliffs_at_Via_Luigi_de_Maio,_2010.jpg"
Emilia-Romagna,Bagno di Romagna,bagno-di-romagna-01,1200,800,"Vista dal Castello di Corzano, Bagno di Romagna — Emilia-Romagna, Italia",Freirossi,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Bagno_di_Romagna.jpg
Emilia-Romagna,Bagno di Romagna,bagno-di-romagna-02,1600,1067,"Podere Nasseto, Bagno di Romagna — Emilia-Romagna, Italia",Marco Musmeci,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Da_Gualchiere_a_Nasseto_14.jpg
Emilia-Romagna,Bagno di Romagna,bagno-di-romagna-03,1600,1066,"Bagno di Romagna: Basilica di Santa Maria Assunta e piazza Ricasoli — Emilia-Romagna, Italia","Luigi Rosa from Pavia, Italy",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Piazza_Ricasoli_e_Santa_Maria_Assunta_(Bagno_di_Romagna).jpg
Emilia-Romagna,Bologna,bologna-01,1600,1067,"ETR 500 in arrivo a Bologna Centrale — Emilia-Romagna, Italia",Incola,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:ETR_500_Bologna_Centrale_AV_1.jpg
Emilia-Romagna,Bologna,bologna-02,1600,1067,"Bologna innevata nel marzo 2018 — Emilia-Romagna, Italia",Pietro Luca Cassarino,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Bologna_innevata.jpg
Emilia-Romagna,Bologna,bologna-03,1600,1067,"Mercato delle Erbe, Bologna — Emilia-Romagna, Italia",Iacopobastia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Al_mercato.JPG
Emilia-Romagna,Modena,modena-01,1600,1067,"Vista interna grandangolare della Chiesa di San Pietro, Modena, Emilia Romagna, Italia — Emilia-Romagna, Italia",Annovi.frizio,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Chiesa_di_San_Pietro,_Modena.jpg"
Emilia-Romagna,Modena,modena-02,1600,1067,"Passaggio porticato del lapidario, Modena — Emilia-Romagna, Italia",Pironius Da Modena,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Museo_Lapidario_Estense.jpg
Emilia-Romagna,Modena,modena-03,1600,1067,"La cancellata esterna del Mercato Albinelli a Modena, mercato coperto in stile liberty nel centro città — Emilia-Romagna, …",Rossoporpora,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Mercato_Albinelli_cancellata.JPG
