usare,esito,titolo,licenza,autore,descrizione,larghezza,altezza,url_immagine,pagina,tema
x,ok,Circle of Norbert van Bloemen Italian flower and vegetable market.jpg,Public domain,Circle of Norbert van Bloemen,,3455,2787,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Circle_of_Norbert_van_Bloemen_Italian_flower_and_vegetable_market.jpg/1280px-Circle_of_Norbert_van_Bloemen_Italian_flower_and_vegetable_market.jpg,https://commons.wikimedia.org/wiki/File:Circle_of_Norbert_van_Bloemen_Italian_flower_and_vegetable_market.jpg,mercato
x,ok,Norbert Balog - Deal.jpg,CC BY 4.0,NBlart23,The deal,6482,4321,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Norbert_Balog_-_Deal.jpg/1280px-Norbert_Balog_-_Deal.jpg,https://commons.wikimedia.org/wiki/File:Norbert_Balog_-_Deal.jpg,mercato
x,ok,Norbert Balog - The Chestnut Roaster.jpg,CC BY 4.0,NBlart23,The Chestnut Roaster,4702,3135,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Norbert_Balog_-_The_Chestnut_Roaster.jpg/1280px-Norbert_Balog_-_The_Chestnut_Roaster.jpg,https://commons.wikimedia.org/wiki/File:Norbert_Balog_-_The_Chestnut_Roaster.jpg,mercato
x,"ok, ma con vincolo",Paolo Monti - Serie fotografica - BEIC 6340878.jpg,CC BY-SA 4.0,Paolo Monti,"Serie fotografica : Italia, 1940 / Paolo Monti, Erberto Ruedi. - Stampe: 2 : Positivo b/n, gelatina bromuro d'",804,1280,https://upload.wikimedia.org/wikipedia/commons/f/f0/Paolo_Monti_-_Serie_fotografica_-_BEIC_6340878.jpg,https://commons.wikimedia.org/wiki/File:Paolo_Monti_-_Serie_fotografica_-_BEIC_6340878.jpg,mercato
x,"ok, ma con vincolo",12 Progetto Ridiamo il mare a Pra'-Palmaro.jpg,CC BY-SA 4.0,Fond primavera,Progetto Ridiamo il mare a Pra'-Palmaro,1243,721,https://upload.wikimedia.org/wikipedia/commons/1/15/12_Progetto_Ridiamo_il_mare_a_Pra%27-Palmaro.jpg,https://commons.wikimedia.org/wiki/File:12_Progetto_Ridiamo_il_mare_a_Pra%27-Palmaro.jpg,quartiere
x,"ok, ma con vincolo",Among the green of the streets of old Florence -Fra il verde delle strade della vecchia Firenze.jpg,CC BY-SA 4.0,PROPOLI87,Among the green of the streets of old Florence,3526,2654,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Among_the_green_of_the_streets_of_old_Florence_-Fra_il_verde_delle_strade_della_vecchia_Firenze.jpg/1280px-Among_the_green_of_the_streets_of_old_Florence_-Fra_il_verde_delle_strade_della_vecchia_Firenze.jpg,https://commons.wikimedia.org/wiki/File:Among_the_green_of_the_streets_of_old_Florence_-Fra_il_verde_delle_strade_della_vecchia_Firenze.jpg,quartiere
x,"ok, ma con vincolo",Ann Uccello Street sign Italy.jpg,CC BY-SA 4.0,Gciriani,"Street sign dedicated to Ann Uccello in Canicattini Bagni, Italy.",2448,3264,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Ann_Uccello_Street_sign_Italy.jpg/1280px-Ann_Uccello_Street_sign_Italy.jpg,https://commons.wikimedia.org/wiki/File:Ann_Uccello_Street_sign_Italy.jpg,quartiere
x,ok,Antichi Borghi (230174867).jpeg,CC0,Salvatore Bertolino,500px provided description: Antichi Borghi [],2048,1365,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Antichi_Borghi_%28230174867%29.jpeg/1280px-Antichi_Borghi_%28230174867%29.jpeg,https://commons.wikimedia.org/wiki/File:Antichi_Borghi_(230174867).jpeg,quartiere
x,"ok, ma con vincolo",Cadrian.png,CC BY-SA 4.0,Giullino,Via XXV aprile,1075,604,https://upload.wikimedia.org/wikipedia/commons/d/d0/Cadrian.png,https://commons.wikimedia.org/wiki/File:Cadrian.png,quartiere
x,"ok, ma con vincolo",Cagliari street.jpg,CC BY-SA 4.0,Mksg1,Cagliari street,4032,3024,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Cagliari_street.jpg/1280px-Cagliari_street.jpg,https://commons.wikimedia.org/wiki/File:Cagliari_street.jpg,quartiere
