id,scuola,citta,url,stato,dettaglio,testo_suggerito
scuola-leonardo-da-vinci-firenze,Scuola Leonardo da Vinci Firenze,Firenze,https://www.scuolaleonardo.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
abc-firenze,ABC Firenze,Firenze,https://www.abcschool.com,AGGIORNATO,Formula 'ogni lunedì' trovata: valida tutto l'anno.,
centro-fiorenza,Centro Fiorenza,Firenze,https://www.centrofiorenza.com,SITO_NON_RAGGIUNGIBILE,"https://www.centrofiorenza.com → URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",
istituto-michelangelo,Istituto Michelangelo,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
europass-italian-language-school,Europass Italian Language School,Firenze,https://www.europassitalian.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
centro-machiavelli,Centro Machiavelli,Firenze,https://www.centromachiavelli.it,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
linguaviva,Linguaviva,Firenze,https://www.linguaviva.it,SITO_NON_RAGGIUNGIBILE,https://www.linguaviva.it → URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>,
accademia-del-giglio,Accademia del Giglio,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scuola-toscana,Scuola Toscana,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-il-david,Istituto Il David,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
