scuola,sito,stato,certificato,iframe,tracker
a-door-to-italy,https://www.adoortoitaly.com,irraggiungibile,_ssl.c:1064: The handshake operation timed out,,
abc-firenze,https://abcschool.com,200,,permesso,googletagmanager+gtag
abc-school-sestri-levante,https://www.abcschool.com,200,,permesso,googletagmanager+gtag
accademia-del-giglio,https://adg.it,200,,permesso,googletagmanager+gtag
accademia-europea-di-firenze,https://aefirenze.it,200,,vietato (SAMEORIGIN),googletagmanager+gtag
accademia-italiana-salerno,https://www.accademia-italiana.it,200,,permesso,facebook.net+fbq+google-analytics+googletagmanager+gtag
accademia-leonardo,https://www.accademialeonardo.it,200,,permesso,facebook.net+fbq+google-analytics+googletagmanager+gtag
accademia-lingua-italiana-assisi,https://aliassisi.it,200,,permesso,google-analytics
accademia-riaci,https://www.accademiariaci.info,200,,permesso,googletagmanager+gtag
alce-accademia-lingue-e-culture-europee,https://www.alce.it,TLS non valido,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: ,,
alpha-beta-piccadilly-bolzano,https://www.alphabeta.it,200,,permesso,facebook.net+fbq+matomo
alpha-beta-piccadilly-merano,https://www.alphabeta.it,200,,permesso,facebook.net+fbq+matomo
arca,https://www.arca-bologna.com,202,,permesso,
babilonia-centro-di-lingua-e-cultura-italiana,https://www.babilonia.it,202,,permesso,
bertrand-russell,https://www.bertrand-russell.it,200,,permesso,google-analytics+googletagmanager
ca-foscari-school-for-international-education,https://www.unive.it,200,,vietato (SAMEORIGIN),facebook.net+fbq+matomo
caffe-italiano-club,https://www.caffeitalianoclub.net,TLS non valido,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: ,,
centro-culturale-giacomo-puccini,https://www.centropuccini.it,200,,vietato (SAMEORIGIN),facebook.net+fbq+googletagmanager+gtag
centro-fiorenza-isola-d-elba,https://centrofiorenza.com,200,,permesso,
centro-fiorenza,https://centrofiorenza.com,200,,permesso,
centro-italiano-firenze,https://www.centroitalianofirenze.com,200,,permesso,
centro-italiano,https://www.centroitaliano.it,403,,,
centro-koine-firenze,https://www.koinecenter.com,200,,permesso,googletagmanager+gtag
centro-koine-lucca,https://www.koinecenter.com,200,,permesso,googletagmanager+gtag
centro-lingua-italiana-calvino,https://www.clicschool.it,202,,permesso,
centro-machiavelli,https://centromachiavelli.it,200,,permesso,googletagmanager+gtag
centro-studi-italiani,https://www.centrostudiitaliani.org,dominio inesistente,,,
ciao-italia,https://www.ciao-italia.it,202,,permesso,
ciaoitaly-scuola-leonardo-da-vinci-torino,https://www.scuolaleonardo.com,200,,permesso,
clm-bell-riva-del-garda,https://www.clm-bell.it,200,,vietato (SAMEORIGIN),facebook.net+fbq+googletagmanager+gtag+matomo
clm-bell-trento,https://www.clm-bell.it,200,,vietato (SAMEORIGIN),facebook.net+fbq+googletagmanager+gtag+matomo
comitato-linguistico,https://www.comitatolinguistico.com,200,,permesso,google-analytics+googletagmanager+gtag
cultura-italiana-arezzo,https://www.culturaitalianaarezzo.it,200,,permesso,facebook.net+google-analytics
cultura-italiana-bologna,https://www.culturaitaliana.eu,200,,permesso,
dilit-international-house,https://www.dilit.it,200,,permesso,facebook.net+fbq+googletagmanager+gtag
easy-italian-language-art,https://easyitalianlanguage.com,200,,permesso,googletagmanager+gtag
ellci-milano,https://www.ellci.it,200,,permesso,facebook.net+fbq+googletagmanager
europass-italian-language-school,https://www.europassitalian.com,200,,vietato (SAMEORIGIN),doubleclick+facebook.net+fbq+google-analytics+googletagmanager+gtag+hotjar
gaia-institute,https://www.gaia-institute.it,dominio inesistente,,,
idea-verona,https://www.ideaverona.com,200,,permesso,
il-centro,https://ilcentro.net,200,,permesso,googletagmanager+gtag+hotjar
il-sasso,https://www.ilsasso.com,200,,permesso,facebook.net+fbq+googletagmanager+gtag
il-sillabo,https://www.sillabo.it,403,,,
inflorence-academy,https://www.inflorenceacademy.it,200,,permesso,googletagmanager+gtag
influent,https://www.influent.it,TLS non valido,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: ,,
